id;syspk;meeseva_service_id;meeseva_service_name;is_charged;organization_entity_type_code;application_table;application_object;customer_default_flag;channel_default_flag;service_url;back_office_url;package_id;meeseva_service_active_flag;meeseva_service_group_id;meeseva_service_sub_group_id;meeseva_service_type_id;meeseva_service_sub_type_id;department_code;efms_department_code;is_online;agency_type;launch_date;is_mobile;inner_sub_id;digilocker_enabled;is_regular;is_seasonal;citizen_portal_launch_date;created_by;updated_by;record_insert_time;create_time;update_time
1;66556;83688;context-sensitive;Mississippi PNG Movies;Refined Metal Ball Intelligent withdrawal;technologies;composite Nakfa;Savings Account;XML indigo copy;bandwidth-monitored;infrastructures;56471;users Assurance;90025;42562;12157;74310;Rupiah pink;synergies;Down-sized Handcrafted innovate;12402;2020-02-27T18:59:01;Internal pixel redundant;10299;Grocery Fantastic;Officer;RAM Intelligent synthesize;2020-02-28T03:30:02;Pennsylvania;online Bike;2020-02-28T01:21:00;2020-02-27T13:55:50;2020-02-27T04:20:09
2;34181;92858;Plains e-tailers;Chair Berkshire Plastic;extranet;payment Toys;Buckinghamshire User-centric;Bedfordshire;Money Market Account;Gorgeous;SMTP PNG;98654;Future;50630;99730;26255;23910;Connecticut bricks-and-clicks;Bedfordshire;Saint Lucia;2534;2020-02-27T20:47:26;black;2443;Fresh Lights;Internal transmitting;Lari quantifying;2020-02-27T15:54:50;driver;Cambridgeshire;2020-02-27T05:11:09;2020-02-27T05:50:43;2020-02-27T19:07:30
3;37078;87114;Diverse Cambridgeshire back-end;Practical Wooden Keyboard Electronics visualize;New Leu;Alabama mesh;invoice;Awesome Wooden Tuna;Granite Ergonomic Soft Mouse;European Unit of Account 9(E.U.A.-9) Table;ivory New Mexico benchmark;34416;syndicate technologies;98249;40843;36543;17337;Principal;Internal applications;hacking Chicken firewall;77971;2020-02-28T02:19:03;Tuna;13035;calculating Interactions;Gorgeous neural payment;next-generation Agent;2020-02-27T14:22:39;Keyboard;Cape Verde Escudo Practical;2020-02-27T12:47:00;2020-02-27T04:01:58;2020-02-27T06:53:38
4;70460;67118;facilitate;Proactive;e-business red;instruction set Generic Granite Bike;static;Barbados Dollar Intelligent Frozen Computer Savings Account;methodologies Investment Account;neural Investment Account Parkway;synthesize Cheese;54390;Park orange Hollow;20655;94398;73088;88610;Fish Designer Granite;revolutionary definition;synthesize;39859;2020-02-27T13:16:20;Shoes CSS Cross-group;37488;Rustic Cotton Table;bypass;SMTP Circles;2020-02-27T04:26:38;capacitor coherent;recontextualize;2020-02-27T15:04:54;2020-02-27T18:04:32;2020-02-27T10:01:58
5;62899;60201;Garden functionalities payment;turquoise Chief;synthesize;empower;reintermediate;Specialist;Beauty program;Consultant Decentralized;teal;43844;Handmade Concrete Mouse Car;241;95270;15656;51358;User-centric Soft Representative;Fresh back up;Denar Division throughput;19962;2020-02-27T09:46:32;Virginia frictionless Car;86825;withdrawal;Fall navigating;copy wireless;2020-02-28T00:02:28;maroon Computer 24 hour;Electronics Quality;2020-02-27T20:28:59;2020-02-28T00:14:15;2020-02-27T14:47:23
6;79964;81929;Savings Account;card;Handmade Cotton Keyboard;Shoes;Wisconsin compressing District;Avon Tuna;Cambridgeshire;multi-state Savings Account Illinois;Operations yellow;26670;implement index;38434;62074;36587;32197;virtual;Compatible user-facing;payment web-enabled;92600;2020-02-27T15:29:29;Wyoming;87391;Investment Account bifurcated models;challenge;Alaska orange Dominica;2020-02-27T07:37:57;withdrawal Dynamic;Profit-focused Credit Card Account Assistant;2020-02-27T14:26:20;2020-02-27T15:06:46;2020-02-27T21:39:57
7;92226;79213;Arizona Summit;payment payment empowering;Planner incubate;vortals input;capacity;reinvent;synthesize firewall;Associate Kiribati;green Rubber;39106;Monitored Handmade backing up;10231;33137;52272;65699;Future Ouguiya;protocol;magenta Poland;2763;2020-02-27T12:41:34;Oval;36911;violet bypassing;Communications;program Metal Knoll;2020-02-27T23:37:16;silver;Books Consultant streamline;2020-02-27T11:20:32;2020-02-28T01:58:42;2020-02-27T09:54:34
8;53528;11417;Auto Loan Account Beauty;Cambridgeshire Rubber Business-focused;actuating Virtual;benchmark;distributed feed Sleek Cotton Fish;Auto Loan Account Quality Cayman Islands Dollar;Electronics Generic Concrete Fish Berkshire;infomediaries Legacy paradigms;Associate magnetic Intelligent;86461;next-generation;55495;83630;42467;69122;backing up;system Functionality;invoice;78384;2020-02-27T17:49:39;Program Cordoba Oro;77158;redundant;TCP solutions;Metical Wooden;2020-02-27T13:00:48;navigating Kids North Dakota;synthesize Unbranded Cotton Bacon;2020-02-28T00:38:33;2020-02-28T02:04:03;2020-02-27T07:24:49
9;97718;50307;Thailand Lane Bedfordshire;Liaison;magnetic Borders;National Bedfordshire;IB Configuration;Wisconsin Tennessee Ergonomic Granite Ball;mesh Health;Re-engineered Italy e-business;Unbranded Rubber Hat;5191;Administrator;80843;48775;23651;73563;Grocery Gloves Configuration;parallelism parallelism Tasty Granite Sausages;navigate Cambridgeshire solution-oriented;57906;2020-02-28T03:13:36;next-generation;48142;index;Beauty Developer;transparent;2020-02-27T07:22:39;Nebraska bluetooth e-services;Home Loan Account feed Checking Account;2020-02-27T14:02:30;2020-02-27T14:46:10;2020-02-27T19:30:32
10;89890;51394;Intelligent Concrete Soap bus cross-platform;communities virtual;hard drive Direct deposit;Incredible Frozen Mouse sensor PCI;Streets e-business Licensed;Refined architect Checking Account;Money Market Account Director functionalities;Summit Islands override;Soft;64661;Handcrafted Cotton Chips;3664;75927;45811;15564;Intelligent SMS;reboot Sleek Frozen Pizza Antarctica (the territory South of 60 deg S);Practical Plastic Chair Engineer;81633;2020-02-27T05:33:22;Directives primary;51598;XSS firmware;navigating;e-enable Re-contextualized;2020-02-27T09:27:56;Communications Baby;Practical;2020-02-27T22:13:29;2020-02-27T18:37:18;2020-02-28T01:57:27
